camera_id,vehicle_count
cam1,0
cam2,0
cam3,0
cam4,0
cam5,0
cam6,0
cam7,0
cam8,0
cam9,0
cam10,0
cam11,0
cam12,0
cam13,0
cam14,0
cam15,0
cam16,0
cam17,0
cam18,0
cam19,0
cam20,0
cam21,0
cam22,0
cam23,0
cam24,0
cam25,0
cam26,0
cam27,0
cam28,0
cam29,0
cam30,0
cam31,0
cam32,0
cam33,0
cam34,0
cam35,0
cam36,0
cam37,0
cam38,0
cam39,0
cam40,0
cam41,0
cam42,0
cam43,0
cam44,0
cam45,0
cam46,0
cam47,0
cam48,0
cam49,0
cam50,0
cam51,0
cam52,0
cam53,0
cam54,0
cam55,0
cam56,0
cam57,0
cam58,0
cam59,0
cam60,0
cam61,0
cam62,0
cam63,0
cam64,0
